[ 2013-03-06T21:41:56+08:00 ] /dd_cms_v2/config/index.php/Index/left | NOTIC: [8] Undefined variable: langList 196c657f8b82048b1beeb0f9599f5fdc.php 第 137 行.
[ 2013-03-06T21:41:56+08:00 ] /dd_cms_v2/config/index.php/Index/left | NOTIC: [8] Undefined variable: moduleList 196c657f8b82048b1beeb0f9599f5fdc.php 第 166 行.
[ 2013-03-06T21:41:56+08:00 ] /dd_cms_v2/config/index.php/Index/left | NOTIC: [8] Undefined variable: moduleList2 196c657f8b82048b1beeb0f9599f5fdc.php 第 188 行.
[ 2013-03-06T21:41:56+08:00 ] /dd_cms_v2/config/index.php/Index/left | NOTIC: [8] Undefined index: tab_id 196c657f8b82048b1beeb0f9599f5fdc.php 第 255 行.
[ 2013-03-06T21:41:56+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined index: account_id CommonAction.class.php 第 20 行.
[ 2013-03-06T21:41:56+08:00 ] /dd_cms_v2/config/index.php/Index/main | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.007741s ]
[ 2013-03-06T21:41:56+08:00 ] /dd_cms_v2/config/index.php/Index/main | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.006565s ]
[ 2013-03-06T21:41:56+08:00 ] /dd_cms_v2/config/index.php/Index/main | SQL: SELECT * FROM `y_account` ORDER BY id desc [ RunTime:0.000850s ]
[ 2013-03-06T21:41:56+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined index: searchkey IndexAction.class.php 第 28 行.
[ 2013-03-06T21:41:56+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined variable: vo ae4ccf388766686c7b43ce2ff8116269.php 第 14 行.
[ 2013-03-06T21:41:56+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined index: website_name ae4ccf388766686c7b43ce2ff8116269.php 第 19 行.
[ 2013-03-06T21:41:56+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined index: url ae4ccf388766686c7b43ce2ff8116269.php 第 22 行.
[ 2013-03-06T21:41:56+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined index: contract_number ae4ccf388766686c7b43ce2ff8116269.php 第 29 行.
[ 2013-03-06T21:41:56+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined index: yy_price ae4ccf388766686c7b43ce2ff8116269.php 第 31 行.
[ 2013-03-06T21:41:56+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined index: service_price ae4ccf388766686c7b43ce2ff8116269.php 第 32 行.
[ 2013-03-06T21:41:56+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined index: begin_time ae4ccf388766686c7b43ce2ff8116269.php 第 35 行.
[ 2013-03-06T21:41:56+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined index: begin_time ae4ccf388766686c7b43ce2ff8116269.php 第 39 行.
[ 2013-03-06T21:41:56+08:00 ] /dd_cms_v2/config/index.php/Account/edit/id/ | ERR: (ThinkException) 
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/ | NOTIC: [8] Undefined index: account_id CommonAction.class.php 第 20 行.
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/ | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.003073s ]
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/ | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.003973s ]
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/left | NOTIC: [8] Undefined index: account_id CommonAction.class.php 第 20 行.
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/left | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.004239s ]
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/left | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.007479s ]
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/left | NOTIC: [8] Undefined index: account_id 196c657f8b82048b1beeb0f9599f5fdc.php 第 15 行.
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/left | NOTIC: [8] Undefined variable: isConnect 196c657f8b82048b1beeb0f9599f5fdc.php 第 72 行.
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/left | NOTIC: [8] Undefined variable: langList 196c657f8b82048b1beeb0f9599f5fdc.php 第 125 行.
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/left | NOTIC: [8] Undefined variable: langList 196c657f8b82048b1beeb0f9599f5fdc.php 第 137 行.
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/left | NOTIC: [8] Undefined variable: moduleList 196c657f8b82048b1beeb0f9599f5fdc.php 第 166 行.
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/left | NOTIC: [8] Undefined variable: moduleList2 196c657f8b82048b1beeb0f9599f5fdc.php 第 188 行.
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/left | NOTIC: [8] Undefined index: tab_id 196c657f8b82048b1beeb0f9599f5fdc.php 第 255 行.
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined index: account_id CommonAction.class.php 第 20 行.
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/main | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.004204s ]
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/main | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.007994s ]
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/main | SQL: SELECT * FROM `y_account` ORDER BY id desc [ RunTime:0.000640s ]
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined index: searchkey IndexAction.class.php 第 28 行.
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined variable: vo ae4ccf388766686c7b43ce2ff8116269.php 第 14 行.
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined index: website_name ae4ccf388766686c7b43ce2ff8116269.php 第 19 行.
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined index: url ae4ccf388766686c7b43ce2ff8116269.php 第 22 行.
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined index: contract_number ae4ccf388766686c7b43ce2ff8116269.php 第 29 行.
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined index: yy_price ae4ccf388766686c7b43ce2ff8116269.php 第 31 行.
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined index: service_price ae4ccf388766686c7b43ce2ff8116269.php 第 32 行.
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined index: begin_time ae4ccf388766686c7b43ce2ff8116269.php 第 35 行.
[ 2013-03-06T21:42:18+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined index: begin_time ae4ccf388766686c7b43ce2ff8116269.php 第 39 行.
[ 2013-03-06T21:42:19+08:00 ] /dd_cms_v2/config/index.php/Account/edit/id/ | ERR: (ThinkException) 
[ 2013-03-06T21:43:49+08:00 ] /dd_cms_v2/config/ | NOTIC: [8] Undefined index: account_id CommonAction.class.php 第 20 行.
[ 2013-03-06T21:43:49+08:00 ] /dd_cms_v2/config/ | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.003244s ]
[ 2013-03-06T21:43:49+08:00 ] /dd_cms_v2/config/ | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.004365s ]
[ 2013-03-06T21:43:49+08:00 ] /dd_cms_v2/config/index.php/Index/left | NOTIC: [8] Undefined index: account_id CommonAction.class.php 第 20 行.
[ 2013-03-06T21:43:49+08:00 ] /dd_cms_v2/config/index.php/Index/left | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.005192s ]
[ 2013-03-06T21:43:49+08:00 ] /dd_cms_v2/config/index.php/Index/left | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.007177s ]
[ 2013-03-06T21:43:49+08:00 ] /dd_cms_v2/config/index.php/Index/left | NOTIC: [8] Undefined index: account_id 196c657f8b82048b1beeb0f9599f5fdc.php 第 15 行.
[ 2013-03-06T21:43:49+08:00 ] /dd_cms_v2/config/index.php/Index/left | NOTIC: [8] Undefined variable: isConnect 196c657f8b82048b1beeb0f9599f5fdc.php 第 72 行.
[ 2013-03-06T21:43:49+08:00 ] /dd_cms_v2/config/index.php/Index/left | NOTIC: [8] Undefined variable: langList 196c657f8b82048b1beeb0f9599f5fdc.php 第 125 行.
[ 2013-03-06T21:43:49+08:00 ] /dd_cms_v2/config/index.php/Index/left | NOTIC: [8] Undefined variable: langList 196c657f8b82048b1beeb0f9599f5fdc.php 第 137 行.
[ 2013-03-06T21:43:49+08:00 ] /dd_cms_v2/config/index.php/Index/left | NOTIC: [8] Undefined variable: moduleList 196c657f8b82048b1beeb0f9599f5fdc.php 第 166 行.
[ 2013-03-06T21:43:49+08:00 ] /dd_cms_v2/config/index.php/Index/left | NOTIC: [8] Undefined variable: moduleList2 196c657f8b82048b1beeb0f9599f5fdc.php 第 188 行.
[ 2013-03-06T21:43:49+08:00 ] /dd_cms_v2/config/index.php/Index/left | NOTIC: [8] Undefined index: tab_id 196c657f8b82048b1beeb0f9599f5fdc.php 第 255 行.
[ 2013-03-06T21:43:49+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined index: account_id CommonAction.class.php 第 20 行.
[ 2013-03-06T21:43:49+08:00 ] /dd_cms_v2/config/index.php/Index/main | SQL: SHOW COLUMNS FROM `y_account` [ RunTime:0.005900s ]
[ 2013-03-06T21:43:49+08:00 ] /dd_cms_v2/config/index.php/Index/main | SQL: SHOW COLUMNS FROM `y_category` [ RunTime:0.007531s ]
[ 2013-03-06T21:43:49+08:00 ] /dd_cms_v2/config/index.php/Index/main | SQL: SELECT * FROM `y_account` ORDER BY id desc [ RunTime:0.000574s ]
[ 2013-03-06T21:43:49+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined index: searchkey IndexAction.class.php 第 28 行.
[ 2013-03-06T21:43:49+08:00 ] /dd_cms_v2/config/index.php/Index/main | NOTIC: [8] Undefined variable: vo ae4ccf388766686c7b43ce2ff8116269.php 第 14 行.
